name,longitude,latitude
Mabele Health Post,24.6465,-17.98708
Lesoma Health Post,25.22436,-17.90315
Kazungula Health Post,25.2373,-17.80335
Parakarungu Health Post,24.324572,-18.03535
Pandamatenga Clinic,25.66005,-18.53594
Seronga Clinic,22.414504,-18.812268
Nxamasere Health Post,,
Etsha 6 Clinic,22.315889,-19.015722
Sepopa Clinic,22.17752,-18.73373
Beetsha Clinic,22.738645,-18.723145
Etsha 1 Health Post,,
Gunutsoga Health Post,,
Mogotho Health post,,
Habu Health post,,
Nxaunxau Health post,,
Tubu Health Post,,
Ngarange Health Post,22.005114,-18.396
Kalamare Clinic,26.570057,-22.934162
Sekondomboro Health Post,21.959701,-18.352019
Xakao Clinic,21.890861,-18.312797
Etsha 13 Clinic,22.293544,-19.12701
Qangwa Clinic,21.175396,-19.527505
Xaxa Health Post,21.080646,-19.882879
Omaweneno Helth Post,22.568905,-25.761502
Bokspits Clinic,20.70035,-26.88869
Rappels Pan Health Post,20.814676,-26.821947
Khawa Health Post,,
Maleshe Health Post,,
Maralaleng Health Post,22.685205,-25.793884
Maubelo Health Post,22.377464,-26.076921
Mambo Health Post,27.32822,-20.79838
Khonkhwa Health Post,23.858806,-24.55973
Charleshill Clinic,20.09265,-22.27636
Kediretswe Clinic,27.10215,-22.54319
Sorilatholo Health Post,24.965163,-23.636964
Kaudwane Health Post,24.656662,-23.384035
Malwelwe Health Post,25.24958,-23.98655
Diphuduhudu Health Post,25.927679,-24.642039
Salajwe Clinic,24.71756,-23.69716
Malaka Health Post,27.329241,-22.615168
Topisi Health Post,27.251954,-22.180296
Mogome Health Post,26.899926,-22.784659
Lecheng Clinic,27.133333,-22.55
Radisele Clinic,,
Tawana Clinic,25.58779,-21.41535
Lerala Clinic,27.76275,-22.792306
Maunatlala Clinic,27.629472,-22.590556
Makoboxane Health Post,24.950288,-21.264357
Toromoja Health Post,24.570598,-21.067224
Mokubilo Health Post,,
Xere Health Post,,
Damtshaa Clinic,,
De Beers DK1 Clinic,25.914085,-24.585523
Ukhwi Health Post,,
Mmatshumo Clinic,25.659963,-21.145513
Khumaga Health Post,24.510463,-20.470839
Mmadikola Health Post,24.481244,-21.091182
Rakops Health Post,24.41338,-21.01887
Khwee Health Post,25.446352,-21.945313
Moreomaoto Health Post,24.254118,-20.238429
Mosu Health Post,,
Hukuntsi Clinic,21.796195,-23.998445
Matlapana Health Post,,
Lehututu Health Post,21.834389,-23.916825
Scottish Livingston Hospital,25.486806,-24.412083
Princess Marina Hospital,25.923917,-24.656889
Nyangabwe Referral Hospital,27.519472,-21.174722
Ghanzi Primary Hospital,21.632694,-21.709333
Jubilee Hospital,27.509722,-21.157833
Lotsane Clinic,27.1127,-22.554638
Tonota Clinic,27.461278,-21.460305
Tochi Medical Centre,25.680583,-25.207611
The Health-Haven Medical Centre,25.672333,-25.229583
"Peace Medical Centre, Botswana",25.6705,-25.227055
LB Private Healthcare,25.680583,-25.207611
Integral Medical Centre,25.669778,-25.227
George's Specialist Medical Clinic,25.877583,-24.680194
Mmatseta Health Post,25.863035,-24.512571
Peleng Central Clinic,25.677532,-25.228731
Peleng East Clinic,25.68692,-25.23142
Chiropractic Wellness Clinic,25.928739,-24.653189
Motswedi Clinic,25.68196,-25.21006
Woodhall Clinic,25.689667,-25.203278
Tsopeng Clinic,25.69592,-25.20033
DELGABO SPINAL HEALTH CLINIC,,
Digawana Clinic Post,25.56238,-25.34528
Molapowabojang Clinic,25.556539,-25.201234
Mogojogojwe Health Post,,
Botshelo Clinic,25.905222,-24.646722
Botsalano Clinic,27.500147,-21.178217
CYLDEVIW DENTAL CLINIC,,
NATURAL DENT DENTAL CLINIC,,
CONFIDENTIST DENTAL SURGERY,,
DOMINA DENTAL CILINIC,25.926573,-24.634186
HEALTHY SMILE,,
BOIPELO DENTAL CLINIC,27.513296,-21.172898
HOLISTIC DENTAL CARE,,
KEWAGAMANG DENTAL CLINIC,25.931314,-24.643899
SMILE TIME DENTAL CARE,25.884785,-24.643421
MIDDLESTAR DENTAL,25.921314,-24.642831
Botswelelo Clinic,27.521115,-21.17843
ONE DENTAL CLINIC,25.914434,-24.66394
Lapologang Clinic,27.51058,-21.18331
Tati Town Clinic,27.496764,-21.165984
PRODENT DENTAL,25.920894,-24.677002
Masego Clinic,27.522375,-21.202178
Itekeng Area W Health Clinic,27.503047,-21.174073
Gerald Estates Clinic,27.49892,-21.16703
Ntshe Clinic,27.498611,-21.134747
Mater Spei College Clinic,27.506123,-21.169229
